pair,strategy,system,is_best_bleurt_baseline,aligned_sentence_count,sacrebleu,chrf_pp
en-zh,it,C3,False,48,1.195924344998676,22.354292682337956
en-zh,it,C35,True,48,3.7750230430592717,24.268921008429743
en-zh,it,GP,False,48,1.6690642447552253,22.848263096221316
en-zh,it,MEPRS,False,48,2.2129472420665564,26.85788877042667
en-zh,tear,G35,False,48,7.872115796844115,23.529372639558925
en-zh,tear,G4o,False,48,7.602783802788377,23.663377760806853
en-zh,tear,C3,False,48,2.794608920642526,23.655390310172102
en-zh,tear,C35,True,48,6.7636177077274855,24.72409739426975
en-zh,tear,GP,False,48,0.04631741562044946,4.059657424355814
en-zh,tear,MEPRS,False,48,0.8546817242216749,11.442233848775892
he-en,it,G35,False,69,40.0225706322075,67.35891912122459
he-en,it,G4o,True,69,56.17046051313549,73.86530386297655
he-en,it,C3,False,69,57.290497362126104,74.02589250145016
he-en,it,C35,False,69,51.320392641764506,71.41049627229708
he-en,it,GP,False,69,36.26968689096974,64.97458645158413
he-en,it,MEPRS,False,69,63.363370223931405,79.02600885701555
he-en,tear,G35,False,69,47.62870300648109,68.24338582454766
he-en,tear,G4o,False,69,49.4885935397913,69.0264595616701
he-en,tear,C3,True,69,52.71621520833194,71.08973949458827
he-en,tear,C35,False,69,48.61915943788052,69.44129119043907
he-en,tear,GP,False,69,25.811798674555153,58.599250201862695
he-en,tear,MEPRS,False,69,57.711839706075025,75.43101112524087
ru-en,it,G35,False,51,31.97905486849589,57.26198038913248
ru-en,it,G4o,False,51,36.323453353069176,60.05202311499135
ru-en,it,C3,False,51,37.14099690129151,60.54630890345969
ru-en,it,C35,True,51,36.25795387300515,60.01874812990214
ru-en,it,GP,False,51,31.250729196528646,57.440152430829315
ru-en,it,MEPRS,False,51,42.94540762820155,64.63627941114197
ru-en,tear,G35,False,51,32.43750428310369,56.90748152890399
ru-en,tear,G4o,False,51,33.776585428087174,58.02317895857219
ru-en,tear,C3,False,51,37.06939713860549,60.55235658539312
ru-en,tear,C35,True,51,37.323319056057926,60.69324449672422
ru-en,tear,GP,False,51,18.38281089731662,48.69274647938624
ru-en,tear,MEPRS,False,51,42.55302302818218,64.25251901100275
zh-en,it,G35,False,48,24.757072700691783,48.74572445174686
zh-en,it,G4o,False,48,27.96362851135504,49.03311862589349
zh-en,it,C3,False,48,25.292220768694275,48.933182533578304
zh-en,it,C35,True,48,27.05512845114592,50.2349601161298
zh-en,it,GP,False,48,20.241366934620917,45.86797709161454
zh-en,it,MEPRS,False,48,26.114422534878152,50.92263618898385
zh-en,tear,G35,False,48,24.817135944820574,48.29950045229791
zh-en,tear,G4o,False,48,25.474414954150166,48.323063247143935
zh-en,tear,C3,False,48,24.48229343733269,49.59057126552999
zh-en,tear,C35,True,48,25.969671501425506,49.24044303172631
zh-en,tear,GP,False,48,21.171302007048787,46.62502417803179
zh-en,tear,MEPRS,False,48,28.44026348398663,52.40418314319362
