pair,strategy,reviewer,reviewer_name,own_mean_score,other_mean_score,own_minus_other,strict_self_top_rate,self_top_with_ties_rate
he-en,it,C3,Claude-3-Opus,0.3838992566987872,0.36111768598668276,0.02278157071210446,0.07,0.61
he-en,it,C35,Claude-3.5-Sonnet,0.4001977948844433,0.3605657222494483,0.03963207263499502,0.125,0.645
he-en,it,GP,Gemini-Pro,0.3374608280882239,0.3877727156598121,-0.050311887571588165,0.06,0.575
he-en,tear,G35,GPT-3.5-Turbo,0.41535463869571687,0.4283991726115346,-0.013044533915817724,0.065,0.545
he-en,tear,G4o,GPT-4o,0.3818307086825371,0.3762041759118438,0.005626532770693304,0.075,0.615
he-en,tear,C3,Claude-3-Opus,0.4397639711946249,0.41910149857401846,0.020662472620606442,0.2,0.685
he-en,tear,C35,Claude-3.5-Sonnet,0.4169158214330673,0.39914460068568586,0.017771220747381467,0.14,0.645
he-en,tear,GP,Gemini-Pro,0.381776407584548,0.4086431908514351,-0.026866783266887073,0.06,0.565
ru-en,it,G35,GPT-3.5-Turbo,0.3432114154100418,0.37886603171005845,-0.03565461630001665,0.02,0.555
ru-en,it,G4o,GPT-4o,0.3719953741133213,0.37382460221648217,-0.0018292281031608848,0.105,0.63
ru-en,it,C3,Claude-3-Opus,0.4079053691029549,0.3938134542200714,0.014091914882883472,0.095,0.605
ru-en,it,C35,Claude-3.5-Sonnet,0.40076172947883604,0.3655644511524588,0.03519727832637726,0.14,0.685
ru-en,it,GP,Gemini-Pro,0.3917402318120003,0.39273547879420223,-0.000995246982201936,0.105,0.645
ru-en,tear,G35,GPT-3.5-Turbo,0.3805814546346664,0.39161901561543344,-0.011037560980767025,0.055,0.59
ru-en,tear,G4o,GPT-4o,0.38802885442972185,0.3870198202319443,0.0010090341977775363,0.075,0.61
ru-en,tear,C3,Claude-3-Opus,0.45073217488825323,0.43835859837941826,0.012373576508834971,0.09,0.575
ru-en,tear,C35,Claude-3.5-Sonnet,0.4518928749114275,0.43432143977843224,0.01757143513299525,0.17,0.68
ru-en,tear,GP,Gemini-Pro,0.4115290840342641,0.4389536105282605,-0.027424526493996404,0.09,0.57
zh-en,it,G35,GPT-3.5-Turbo,0.3130269841104746,0.33921511422842743,-0.026188130117952846,0.025,0.55
zh-en,it,G4o,GPT-4o,0.30892309051007033,0.3075350875407457,0.0013880029693246199,0.095,0.655
zh-en,it,C3,Claude-3-Opus,0.3639189127832651,0.34970532421953976,0.014213588563725343,0.13,0.615
zh-en,it,C35,Claude-3.5-Sonnet,0.338646864593029,0.3070839497633278,0.031562914829701194,0.105,0.67
zh-en,it,GP,Gemini-Pro,0.32427104353904723,0.378119967635721,-0.053848924096673745,0.075,0.54
zh-en,tear,G35,GPT-3.5-Turbo,0.3528167787194252,0.3517881417274475,0.0010286369919776939,0.055,0.575
zh-en,tear,G4o,GPT-4o,0.40867661371827124,0.39593253945931794,0.012744074258953297,0.13,0.61
zh-en,tear,C3,Claude-3-Opus,0.35333675354719163,0.3373685732763261,0.01596818027086555,0.105,0.65
zh-en,tear,C35,Claude-3.5-Sonnet,0.3683710432052612,0.3480180751439184,0.02035296806134279,0.155,0.68
zh-en,tear,GP,Gemini-Pro,0.34532468404620886,0.39084903927519915,-0.04552435522899029,0.06,0.54
