pair,strategy,dimension,selected_bleurt,meprs_bleurt,best_baseline_bleurt,dimension_minus_meprs,dimension_minus_best_baseline,selection_agreement_with_meprs
en-he,tear,fluency,86.46044504642487,87.28578358888626,84.57604587078094,-0.8253385424613957,1.884399175643921,0.89
en-he,tear,style,83.25998985767365,87.28578358888626,84.57604587078094,-4.025793731212612,-1.3160560131072998,0.595
en-he,tear,terminology,84.79871014505625,87.28578358888626,84.57604587078094,-2.4870734438300124,0.2226642742753029,0.75
en-ru,it,accuracy,69.18322468921542,81.28278708457947,78.9809181690216,-12.09956239536405,-9.797693479806185,0.53
en-ru,it,fluency,79.38453343510628,81.28278708457947,78.9809181690216,-1.8982536494731916,0.403615266084671,0.83
en-ru,it,style,70.08424535021186,81.28278708457947,78.9809181690216,-11.198541734367605,-8.896672818809748,0.565
en-ru,it,terminology,76.99901788681746,81.28278708457947,78.9809181690216,-4.283769197762011,-1.9819002822041512,0.78
en-ru,tear,accuracy,79.25833877921104,82.64554634690285,79.02671226859093,-3.3872075676917968,0.2316265106201172,0.61
en-ru,tear,fluency,81.91707509756088,82.64554634690285,79.02671226859093,-0.7284712493419554,2.8903628289699554,0.855
en-ru,tear,style,79.5353861451149,82.64554634690285,79.02671226859093,-3.110160201787948,0.5086738765239716,0.58
en-ru,tear,terminology,80.76247128844261,82.64554634690285,79.02671226859093,-1.8830750584602263,1.7357590198516846,0.77
en-zh,it,accuracy,63.3146806396544,71.33825010061264,69.17028181254864,-8.023569460958246,-5.855601172894239,0.56
en-zh,it,fluency,70.5415820479393,71.33825010061264,69.17028181254864,-0.7966680526733438,1.3713002353906631,0.925
en-zh,it,style,65.15503268688917,71.33825010061264,69.17028181254864,-6.183217413723474,-4.015249125659466,0.655
en-zh,it,terminology,67.58764139562845,71.33825010061264,69.17028181254864,-3.750608704984193,-1.582640416920185,0.795
en-zh,tear,accuracy,69.93923817202449,72.86324499547482,70.0353417173028,-2.9240068234503314,-0.09610354527831078,0.58
en-zh,tear,fluency,72.96131728589535,72.86324499547482,70.0353417173028,0.09807229042052557,2.9259755685925484,0.935
en-zh,tear,style,71.0019957870245,72.86324499547482,70.0353417173028,-1.8612492084503218,0.9666540697216988,0.655
en-zh,tear,terminology,71.59741960093379,72.86324499547482,70.0353417173028,-1.2658253945410314,1.562077883630991,0.83
he-en,it,accuracy,76.56539195775986,82.06734684109688,79.02648092806339,-5.5019548833370235,-2.4610889703035355,0.56
he-en,it,fluency,81.8792413175106,82.06734684109688,79.02648092806339,-0.1881055235862683,2.852760389447212,0.935
he-en,it,style,78.91997414827347,82.06734684109688,79.02648092806339,-3.1473726928234136,-0.10650677978992462,0.65
he-en,it,terminology,78.96989101171494,82.06734684109688,79.02648092806339,-3.0974558293819454,-0.056589916348457336,0.78
he-en,tear,accuracy,78.35227477550507,82.19093099236488,78.04128612577915,-3.838656216859815,0.310988649725914,0.595
he-en,tear,fluency,81.391338378191,82.19093099236488,78.04128612577915,-0.799592614173894,3.3500522524118423,0.88
he-en,tear,style,77.81251612305641,82.19093099236488,78.04128612577915,-4.378414869308478,-0.22877000272274017,0.56
he-en,tear,terminology,80.91388764977455,82.19093099236488,78.04128612577915,-1.2770433425903338,2.8726015239953995,0.84
ru-en,it,accuracy,77.22023496031761,80.15236911177635,78.52532956004143,-2.932134151458743,-1.305094599723816,0.535
ru-en,it,fluency,79.92195880413055,80.15236911177635,78.52532956004143,-0.23041030764580084,1.3966292440891266,0.9
ru-en,it,style,77.96790465712547,80.15236911177635,78.52532956004143,-2.1844644546508807,-0.5574249029159546,0.54
ru-en,it,terminology,78.83400782942772,80.15236911177635,78.52532956004143,-1.3183612823486346,0.3086782693862915,0.78
ru-en,tear,accuracy,77.97293643653393,80.72610113024712,78.62497813999653,-2.753164693713195,-0.6520417034626007,0.535
ru-en,tear,fluency,80.21490561962128,80.72610113024712,78.62497813999653,-0.5111955106258392,1.5899274796247482,0.91
ru-en,tear,style,78.39684708416462,80.72610113024712,78.62497813999653,-2.329254046082496,-0.22813105583190918,0.605
ru-en,tear,terminology,79.48033133149147,80.72610113024712,78.62497813999653,-1.245769798755647,0.8553531914949417,0.785
zh-en,it,accuracy,66.87027006596327,70.74025943875313,68.59212036803365,-3.8699893727898615,-1.7218503020703793,0.55
zh-en,it,fluency,70.81614202260971,70.74025943875313,68.59212036803365,0.07588258385657909,2.224021654576063,0.905
zh-en,it,style,68.33304695785046,70.74025943875313,68.59212036803365,-2.4072124809026763,-0.2590734101831913,0.605
zh-en,it,terminology,69.19310928881168,70.74025943875313,68.59212036803365,-1.5471501499414453,0.6009889207780361,0.79
zh-en,tear,accuracy,68.67704850062728,71.90283671021461,68.54129115864635,-3.2257882095873325,0.13575734198093414,0.535
zh-en,tear,fluency,71.21697780489922,71.90283671021461,68.54129115864635,-0.6858589053153952,2.6756866462528706,0.885
zh-en,tear,style,69.44822290539742,71.90283671021461,68.54129115864635,-2.454613804817196,0.90693174675107,0.615
zh-en,tear,terminology,70.22296934947371,71.90283671021461,68.54129115864635,-1.6798673607408943,1.6816781908273697,0.78
